C0018923,Hemangiosarcoma
C4521563,SPINOCEREBELLAR ATAXIA 44
C4540400,SPINOCEREBELLAR ATAXIA 45
C4540404,SPINOCEREBELLAR ATAXIA 46
C4693640,OROFACIODIGITAL SYNDROME XVII
C4693552,"ERYTHROCYTOSIS, FAMILIAL, 5"
C4693550,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 59"
C4693443,RETINITIS PIGMENTOSA 81
C4693420,SHORT-RIB THORACIC DYSPLASIA 18 WITH POLYDACTYLY
C4693509,"CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE G"
C4693524,SHORT-RIB THORACIC DYSPLASIA 19 WITH OR WITHOUT POLYDACTYLY
C4693535,"LEUKODYSTROPHY, HYPOMYELINATING, 14"
C4540499,COFFIN-SIRIS SYNDROME 6
C2931788,Atypical Hemolytic Uremic Syndrome
C0338495,"Sleep Apnea, Mixed Central and Obstructive"
C2678065,Myofibrillar Myopathy
C4310645,"MYOPATHY, MYOFIBRILLAR, 8"
C3151236,"MYOPATHY, MYOFIBRILLAR, FATAL INFANTILE HYPERTONIC, ALPHA-B CRYSTALLIN-RELATED"
C1845366,"Mental retardation, X-linked, with cerebellar hypoplasia and distinctive facial appearance"
C4479613,NEURODEVELOPMENTAL DISORDER WITH MIDBRAIN AND HINDBRAIN MALFORMATIONS
C0795898,Cleft Palate-Lateral Synechia Syndrome
C1865869,CONE DYSTROPHY 3 (disorder)
C1858854,MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS
C3151356,"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION"
C3151355,MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2A
C3275445,"X-linked immunodeficiency with magnesium defect, Epstein-Barr virus infection and neoplasia"
C1854465,TUBEROUS SCLEROSIS 1 (disorder)
C0041341,Tuberous Sclerosis
C2750460,"Tsc2 Angiomyolipomas, Renal, Modifier Of"
C1860707,TUBEROUS SCLEROSIS 2 (disorder)
C0007194,Hypertrophic Cardiomyopathy
C1856053,Hydranencephaly with Renal Aplasia-Dysplasia
C4014479,CULLER-JONES SYNDROME
C1853198,COLD-INDUCED SWEATING SYNDROME 2
C4310742,CRISPONI/COLD-INDUCED SWEATING SYNDROME 3
C1260873,Aortic valve disorder
C3887892,Aortic Valve Disease 1
C0428791,Aortic valve calcification
C0149630,Bicuspid aortic valve
C0003507,Aortic Valve Stenosis
C3542024,AORTIC VALVE DISEASE 2
C3809443,"MITOCHONDRIAL DNA DEPLETION SYNDROME 12B (CARDIOMYOPATHIC TYPE), AUTOSOMAL RECESSIVE"
C4225163,MITOCHONDRIAL DNA DEPLETION SYNDROME 14 (CARDIOENCEPHALOMYOPATHIC TYPE)
C4310690,MITOCHONDRIAL DNA DEPLETION SYNDROME 15 (HEPATOCEREBRAL TYPE)
C1853286,"Erythrocytosis, Familial, 3"
C2673187,"Erythrocytosis, Familial, 4"
C1846175,"SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 2 (disorder)"
C4225155,"ANEMIA, SIDEROBLASTIC, 3, PYRIDOXINE-REFRACTORY"
C4551988,BLEPHAROCHEILODONTIC SYNDROME 1
C1861536,Blepharo-cheilo-dontic syndrome
C4540127,BLEPHAROCHEILODONTIC SYNDROME 2
C0334419,"Pheochromocytoma, malignant"
C1863052,"ALZHEIMER DISEASE, FAMILIAL, 1"
C1541844,PRESENILE AND SENILE DEMENTIA
C0002395,Alzheimer's Disease
C2751855,"Hypomyelination, Global Cerebral"
C4310626,RETINITIS PIGMENTOSA 77
C2752042,"Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi"
C1853490,22q13.3 Deletion Syndrome
C3203653,IgG4-Related Sclerosing Disease
C3554534,"CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE, DUE TO CYTOCHROME c OXIDASE DEFICIENCY 2"
C4225154,"CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE, DUE TO CYTOCHROME c OXIDASE DEFICIENCY 3"
C4225304,"CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE, DUE TO CYTOCHROME c OXIDASE DEFICIENCY 4"
C0342739,Trimethylaminuria
C0038015,Spondyloepiphyseal Dysplasia
C3541456,"Spondyloepiphyseal Dysplasia Tarda, X-Linked"
C3553607,MITOCHONDRIAL PYRUVATE CARRIER DEFICIENCY
C0014173,Endometrial Hyperplasia
C0346421,Chronic eosinophilic leukemia
C0600113,Stromal tumor of ovary
C1860823,"Trichorhinophalangeal Syndrome, Type III"
C1868672,"NEPHROTIC SYNDROME, STEROID-RESISTANT, AUTOSOMAL RECESSIVE"
C3496337,Idiopathic Nephrotic Syndrome
C3280113,"NEPHROTIC SYNDROME, TYPE 5, WITH OR WITHOUT OCULAR ABNORMALITIES"
C4225165,"NEPHROTIC SYNDROME, TYPE 13"
C1853124,"NEPHROTIC SYNDROME, TYPE 3"
C3151568,"NEPHROTIC SYNDROME, TYPE 4"
C3280100,"NEPHROTIC SYNDROME, TYPE 6"
C4225228,"NEPHROTIC SYNDROME, TYPE 11"
C4014507,"NEPHROTIC SYNDROME, TYPE 10"
C4225166,"NEPHROTIC SYNDROME, TYPE 12"
C3808620,"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 7"
C0268742,"Membranoproliferative Glomerulonephritis, Type I"
C3554330,"NEPHROTIC SYNDROME, TYPE 7"
C1720821,"Membranoproliferative Glomerulonephritis, Type III"
C3808953,"NEPHROTIC SYNDROME, TYPE 8"
C0403399,Finnish congenital nephrotic syndrome
C3501848,"Nephrosis, congenital"
C3809965,"NEPHROTIC SYNDROME, TYPE 9"
C4748545,"NEPHROTIC SYNDROME, TYPE 17"
C4748549,"NEPHROTIC SYNDROME, TYPE 18"
C4748552,"NEPHROTIC SYNDROME, TYPE 19"
C1861537,OROFACIAL CLEFT 1
C1837210,OROFACIAL CLEFT 5
C1851878,OROFACIAL CLEFT 8
C1866070,OROFACIAL CLEFT 10
C2677434,OROFACIAL CLEFT 11
C1833563,"Cleft Lip, Congenital Healed"
C4225209,OROFACIAL CLEFT 15
C0017097,Gardner Syndrome
C2673218,BRAIN TUMOR-POLYPOSIS SYNDROME 2 (disorder)
C2713442,"Polyposis, Adenomatous Intestinal"
C2674616,"FAMILIAL ADENOMATOUS POLYPOSIS, ATTENUATED (disorder)"
C1837991,"Colorectal Adenomatous Polyposis, Autosomal Recessive"
C0004991,Benign neoplasm of colon
C0347272,Benign neoplasm of large intestine
C4225157,FAMILIAL ADENOMATOUS POLYPOSIS 3
C4310719,FAMILIAL ADENOMATOUS POLYPOSIS 4
C3809624,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 18"
C3554316,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 15"
C4014492,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 23"
C4225350,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 32"
C4310762,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 38"
C4479319,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 54"
C4225320,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 50"
C4693699,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 62"
C3150987,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 11"
C4551549,Early Infantile Epileptic Encephalopathy 6
C0751122,Infantile Severe Myoclonic Epilepsy
C4310700,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 44"
C4310685,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 47"
C4693810,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 63"
C4310737,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 40"
C4310691,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 45"
C4014531,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 24"
C4693925,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 65"
C3810400,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 19"
C4693663,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 60"
C4479208,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 51"
C4693688,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 61"
C4310770,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 37"
C2677326,"Epileptic Encephalopathy, Early Infantile, 4"
C4225357,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 31"
C3150731,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 5"
C3554195,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 14"
C0270855,Early myoclonic encephalopathy
C4310635,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 49"
C4310717,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 41"
C4014430,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 21"
C4015316,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 27"
C3281191,SCN8A-related epilepsy with encephalopathy
C4748070,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 66"
C4310712,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 43"
C4310637,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 48"
C3809173,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 16"
C3809606,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 17"
C4225361,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29"
C4015519,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 28"
C4014621,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 25, WITH AMELOGENESIS IMPERFECTA"
C4310716,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 42"
C4479236,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 52"
C4310687,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 46"
C3150667,"MICROCEPHALY, SEIZURES, AND DEVELOPMENTAL DELAY"
C4225256,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 35"
C3150988,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 12"
C4225257,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 34"
C4015119,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 26"
C3150986,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 7"
C4225337,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 33"
C4479313,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 53"
C4225360,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 30"
C1839333,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 2"
C3463992,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1"
C4552072,X-linked infantile spasms
C4317295,Congenital disorder of glycosylation type 1s
C3550904,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 36"
C4693362,"EPILEPTIC ENCEPHALOPATHY, INFANTILE OR EARLY CHILDHOOD, 2"
C4540199,"EPILEPTIC ENCEPHALOPATHY, INFANTILE OR EARLY CHILDHOOD, 1"
C4693376,DEVELOPMENTAL DELAY AND SEIZURES WITH OR WITHOUT MOVEMENT ABNORMALITIES
C0343055,Generalized pustular psoriasis
C0392439,Acrodermatitis continua of Hallopeau
C1864497,PSORIASIS 2
C0043459,Zellweger Syndrome
C1865803,"Peroxisome Biogenesis Disorder, Complementation Group 1"
C4721541,PEROXISOME BIOGENESIS DISORDER 1A (ZELLWEGER)
C3550273,PEROXISOME BIOGENESIS DISORDER 2A (ZELLWEGER)
C3553929,PEROXISOME BIOGENESIS DISORDER 3A (ZELLWEGER)
C1866340,"Peroxisome Biogenesis Disorder, Complementation Group 3"
C3553936,PEROXISOME BIOGENESIS DISORDER 4A (ZELLWEGER)
C1832232,"Peroxisome Biogenesis Disorder, Complementation Group C"
C3539010,"PEROXISOME BIOGENESIS DISORDER, COMPLEMENTATION GROUP F"
C3553940,PEROXISOME BIOGENESIS DISORDER 5A (ZELLWEGER)
C3553947,PEROXISOME BIOGENESIS DISORDER 6A (ZELLWEGER)
C1864399,"Peroxisome Biogenesis Disorder, Complementation Group 7"
C3539168,"PEROXISOME BIOGENESIS DISORDER, COMPLEMENTATION GROUP A"
C3553950,"PEROXISOME BIOGENESIS DISORDER, COMPLEMENTATION GROUP 8"
C3888385,PEROXISOME BIOGENESIS DISORDER 7A (ZELLWEGER)
C3553959,PEROXISOME BIOGENESIS DISORDER 8A (ZELLWEGER)
C1863999,"Peroxisome Biogenesis Disorder, Complementation Group D"
C3553999,PEROXISOME BIOGENESIS DISORDER 10A (ZELLWEGER)
C1864172,"Peroxisome Biogenesis Disorder, Complementation Group G"
C1866260,"Peroxisome Biogenesis Disorder, Complementation Group H"
C3554000,PEROXISOME BIOGENESIS DISORDER 11A (ZELLWEGER)
C3554002,PEROXISOME BIOGENESIS DISORDER 12A (ZELLWEGER)
C3554004,PEROXISOME BIOGENESIS DISORDER 13A (ZELLWEGER)
C0268273,"Gangliosidosis, Generalized GM1, Type 3"
C0238286,Mucolipidosis Type IV
C1366911,Cerebral Cavernous Malformations 1
C2919945,Cavernous Hemangioma of Brain
C0949595,"Gonadal Dysgenesis, 46,XX"
C1845295,Premature Ovarian Failure 4
C1845294,Ovarian Dysgenesis 2
C3280471,OVARIAN DYSGENESIS 3
C4015409,OVARIAN DYSGENESIS 4
C4540141,OVARIAN DYSGENESIS 5
C4748084,OVARIAN DYSGENESIS 6
C4748263,OVARIAN DYSGENESIS 7
C4748626,OVARIAN DYSGENESIS 8
C0268272,"Gangliosidosis, Generalized GM1, Type 2"
C0268271,"Gangliosidosis, Generalized GM1, Type 1 (disorder)"
C1968748,"Gangliosidosis, Generalized GM1, Type I, with Cardiac Involvement"
C0085131,Gangliosidosis GM1
C4225238,"PARKINSON DISEASE 22, AUTOSOMAL DOMINANT"
C4551851,Cornelia de Lange Syndrome 1
C1802395,Congenital muscular hypertrophy-cerebral syndrome
C1853099,Cornelia de Lange Syndrome 3
C3553517,CORNELIA DE LANGE SYNDROME 4
C3550903,CORNELIA DE LANGE SYNDROME 5
C0080333,Weber-Cockayne Syndrome
C0079299,Epidermolysis Bullosa Simplex Kobner
C4552001,MEIER-GORLIN SYNDROME 1
C3151097,MEIER-GORLIN SYNDROME 2
C3151113,MEIER-GORLIN SYNDROME 3
C3151120,MEIER-GORLIN SYNDROME 4
C3151126,MEIER-GORLIN SYNDROME 5
C4225188,MEIER-GORLIN SYNDROME 6
C4310738,MEIER-GORLIN SYNDROME 7
C1858361,"Pyogenic Arthritis, Pyoderma Gangrenosum and Acne"
C0272137,Tn Syndrome
C4324656,Non-squamous non-small cell lung cancer
C0238461,Anaplastic thyroid carcinoma
C3711381,Hereditary Diffuse Leukoencephalopathy with Spheroids
C1704228,Thyroid Gland Adenocarcinoma
C1337013,Differentiated Thyroid Gland Carcinoma
C2749757,BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1
C2751666,BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 2
C2751324,BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 3
C1641846,Groenouw corneal dystrophy type I (disorder)
C0205824,"Liposarcoma, Dedifferentiated"
C1847319,PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA
C3714524,Fibromyxosarcoma
C2750442,Hypermanganesemia with Dystonia Polycythemia and Cirrhosis
C4310765,Hypermanganesemia with dystonia 2
C4540299,SWEENEY-COX SYNDROME
C1850055,PEHO syndrome
C0268233,GALACTOSIALIDOSIS
C0268528,Hyperprolinemia
C0268529,Proline dehydrogenase deficiency
C2931835,Hyperprolinemia type 2
C4551484,Leopard Syndrome 1
C0175704,LEOPARD Syndrome
C1969056,LEOPARD SYNDROME 2
C3150971,LEOPARD SYNDROME 3
C1832600,Naxos disease
C0349653,Congenital disorder of glycosylation type 1A
C4310727,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iaa"
C1865145,Congenital disorder of glycosylation type 1B
C2930997,Congenital disorder of glycosylation type 1C
C1832736,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Id"
C1837396,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ie"
C1836669,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE If"
C2931001,Congenital disorder of glycosylation type 1G
C2931002,Congenital disorder of glycosylation type 1H
C1842836,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ii"
C2931004,Congenital disorder of glycosylation type 1J
C2931005,Congenital disorder of glycosylation type 1K
C2931006,Congenital disorder of glycosylation type 1L
C1835849,"Congenital Disorder Of Glycosylation, Type Im"
C2677590,"Congenital Disorder Of Glycosylation, Type In"
C3150913,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ip"
C4317224,Congenital disorder of glycosylation type 1q
C3281084,Congenital disorder of glycosylation type 1r
C2752015,Glycogen Storage Disease XIV
C3554385,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iu"
C3810062,Congenital disorder of glycosylation type 1w
C2931007,Congenital disorder of glycosylation type 1X
C4012395,Congenital disorder of glycosylation type 1y
C3278404,"MULTIPLE JOINT DISLOCATIONS, SHORT STATURE, AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT CONGENITAL HEART DEFECTS"
C1864872,"Spondyloepimetaphyseal dysplasia, Genevieve type"
C1859499,3-methylcrotonyl CoA carboxylase 2 deficiency
C4748930,HYPOTRICHOSIS 14
C3280358,"Wolfram-Like Syndrome, Autosomal Dominant"
C4551950,VAN MALDERGEM SYNDROME 1
C3809875,VAN MALDERGEM SYNDROME 2
C4479088,"MYASTHENIC SYNDROME, CONGENITAL, 22"
C3150753,"AGAMMAGLOBULINEMIA 5, AUTOSOMAL DOMINANT"
C1861689,"KLIPPEL-FEIL SYNDROME, AUTOSOMAL DOMINANT"
C1859209,Klippel Feil syndrome recessive type
C3150967,"KLIPPEL-FEIL SYNDROME 3, AUTOSOMAL DOMINANT"
C4225285,"KLIPPEL-FEIL SYNDROME 4, AUTOSOMAL RECESSIVE, WITH NEMALINE MYOPATHY AND FACIAL DYSMORPHISM"
C1837213,"OROFACIAL CLEFT 6, SUSCEPTIBILITY TO"
C4722305,"HYPER-IgE RECURRENT INFECTION SYNDROME 2, AUTOSOMAL RECESSIVE"
C1968689,"Hyper-Immunoglobulin E Syndrome, Autosomal Recessive"
C4748969,"HYPER-IgE RECURRENT INFECTION SYNDROME 3, AUTOSOMAL RECESSIVE"
C0391816,Tietz syndrome
C0205713,Roussy-Levy Syndrome (disorder)
C0027888,Hereditary Motor and Sensory Neuropathies
C1408182,"Hereditary motor and sensory neuropathy, types I-IV"
C1408174,Hypertrophic neuropathy of infancy
C0795950,Corpus callosum agenesis neuronopathy
C2875300,Peroneal muscular atrophy (axonal type) (hypertrophic type)
C2745959,"Spondyloepiphyseal dysplasia, congenita"
C0432215,Progressive pseudorheumatoid dysplasia
C0036391,Schwartz-Jampel Syndrome
C4551479,"Schwartz-Jampel Syndrome, Type 1"
C0431692,Bilateral renal hypoplasia
C1852759,Papillorenal syndrome
C0494266,Other specified immunodeficiencies
C0398788,"Immunodeficiency syndrome, variable"
C4551557,IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 1
C3279748,IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 2
C4310799,IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 3
C4310798,IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 4
C1865370,Severe combined immunodeficiency with sensitivity to ionizing radiation
C1865373,"SEVERE COMBINED IMMUNODEFICIENCY, PARTIAL"
C1865371,"SEVERE COMBINED IMMUNODEFICIENCY, ATHABASKAN-TYPE"
C0451693,Severe combined immunodeficiency with low T- and B-cell numbers
C1865372,Athabaskan severe combined immunodeficiency
C1832322,"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, NK Cell-Positive"
C0451694,Severe combined immunodeficiency with low or normal B-cell numbers
C1837028,"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell Negative, B Cell Positive, NK Cell Positive"
C1859309,Syndactyly Cenani Lenz type
C0740302,5q-syndrome
C1292779,Myelodysplastic Syndrome with Isolated del(5q)
C2931072,Epidermolysa bullosa simplex and limb girdle muscular dystrophy
C1275126,TNF receptor-associated periodic fever syndrome (TRAPS)
C0342611,Familial non-neuropathic amyloidosis
C1719313,Hereditary amyloid nephropathy
C2749759,"Macrothrombocytopenia-Stomatocytosis, Mediterranean"
C0342907,Sitosterolemia
C0265554,Ectrodactyly
C2931019,Split hand foot deformity 1
C1854442,SPLIT-HAND/FOOT MALFORMATION 4
C1857344,Split-Hand-Foot Malformation With Sensorineural Hearing Loss
C1838652,SPLIT-HAND/FOOT MALFORMATION 3
C2749665,SPLIT-HAND/FOOT MALFORMATION 6 (disorder)
C1839258,SPLIT-HAND/FOOT MALFORMATION 2
C1848533,Ataxia with vitamin E deficiency
C0409818,"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome"
C1969107,"Corticosteroid-Binding Globulin, Elevated"
C0154207,Other specified disorders of adrenal gland
C0271749,Abnormality of cortisol-binding globulin
C1852529,Corticosteroid-Binding Globulin Deficiency
C0268634,Disorder of fatty acid metabolism
C0342870,Bifunctional peroxisomal enzyme deficiency
C1857100,Dyssegmental dysplasia
C1834570,Myoclonic dystonia
C4225341,"DYSTONIA 26, MYOCLONIC"
C1843264,"DYSTONIA 13, TORSION"
C1857093,"DYSTONIA 2, TORSION, AUTOSOMAL RECESSIVE (disorder)"
C1414216,"Dystonia 6, torsion (disorder)"
C1865819,"CERVICAL DYSTONIA, PRIMARY"
C1865818,"DYSTONIA 7, TORSION (disorder)"
C1851943,"DYSTONIA 4, TORSION, AUTOSOMAL DOMINANT (disorder)"
C1860315,"Whispering dysphonia, hereditary"
C2676281,"DYSTONIA 17, TORSION, AUTOSOMAL RECESSIVE (disorder)"
C1851920,Dopa-Responsive Dystonia
C0477360,Other dystonia
C1719382,Acquired torsion dystonia
C1832855,"CHOREOATHETOSIS/SPASTICITY, EPISODIC"
C1842534,DYSTONIA 18 (disorder)
C3281236,DYSTONIA 21
C1869117,Paroxysmal nonkinesigenic dyskinesia
C2677567,DYSTONIA 16 (disorder)
C4551506,Paroxysmal Nonkinesigenic Dyskinesia 1
C4225336,DYSTONIA 27
C3538999,DYSTONIA 23
C3554374,DYSTONIA 24
C1868682,Paroxysmal kinesigenic choreoathetosis
C4552000,Episodic Kinesigenic Dyskinesia 1
C1970238,Episodic Kinesigenic Dyskinesia 2
C3554447,DYSTONIA 25
C1868681,DYSTONIA 12
C1839130,"Dystonia 3, Torsion, X-Linked"
C1849394,Enhanced S-Cone Syndrome
C0339541,Goldmann-Favre syndrome (disorder)
C0432217,Wolcott-Rallison syndrome
C0343068,Familial cold urticaria
C0157742,Urticaria due to cold and heat
C4551895,Familial Cold Autoinflammatory Syndrome 1
C2673198,Familial Cold Autoinflammatory Syndrome 2
C4722480,PLCG2-associated antibody deficiency and immune dysregulation
C3280914,FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 3
C4015276,FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 4
C0151638,Fanconi like syndrome
C1856728,Fuhrmann syndrome
C1850386,GIANT AXONAL NEUROPATHY 1
C4013360,"GIANT AXONAL NEUROPATHY 2, AUTOSOMAL DOMINANT"
C3553844,HYPOGONADOTROPIC HYPOGONADISM 11 WITH OR WITHOUT ANOSMIA
C1856897,"Eunuchoidism, familial hypogonadotropic"
C3541462,HYPOGONADOTROPIC HYPOGONADISM 13 WITH OR WITHOUT ANOSMIA
C3553841,HYPOGONADOTROPIC HYPOGONADISM 8 WITH OR WITHOUT ANOSMIA
C3553977,HYPOGONADOTROPIC HYPOGONADISM 15 WITH OR WITHOUT ANOSMIA
C3808975,HYPOGONADOTROPIC HYPOGONADISM 18 WITH OR WITHOUT ANOSMIA
C3552343,HYPOGONADOTROPIC HYPOGONADISM 4 WITH OR WITHOUT ANOSMIA
C0342384,Idiopathic hypogonadotropic hypogonadism
C3489396,"Hypogonadism, Isolated Hypogonadotropic"
C3808971,HYPOGONADOTROPIC HYPOGONADISM 17 WITH OR WITHOUT ANOSMIA
C3554021,HYPOGONADOTROPIC HYPOGONADISM 16 WITH OR WITHOUT ANOSMIA
C4014988,HYPOGONADOTROPIC HYPOGONADISM 22 WITH OR WITHOUT ANOSMIA
C3808983,HYPOGONADOTROPIC HYPOGONADISM 20 WITH OR WITHOUT ANOSMIA
C1563720,Kallmann Syndrome 2 (disorder)
C3552553,HYPOGONADOTROPIC HYPOGONADISM 5 WITH OR WITHOUT ANOSMIA
C3553842,HYPOGONADOTROPIC HYPOGONADISM 9 WITH OR WITHOUT ANOSMIA
C3552574,HYPOGONADOTROPIC HYPOGONADISM 6 WITH OR WITHOUT ANOSMIA
C3540450,HYPOGONADOTROPIC HYPOGONADISM 14 WITH OR WITHOUT ANOSMIA
C0342386,Follicle stimulating hormone deficiency
C0016724,Froehlich's Syndrome
C1856716,"Follicle-stimulating hormone deficiency, isolated"
C3553843,HYPOGONADOTROPIC HYPOGONADISM 10 WITH OR WITHOUT ANOSMIA
C3808981,HYPOGONADOTROPIC HYPOGONADISM 19 WITH OR WITHOUT ANOSMIA
C0238395,Male Pseudohermaphroditism
C3550478,HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA
C3808986,HYPOGONADOTROPIC HYPOGONADISM 21 WITH OR WITHOUT ANOSMIA
C1563719,Kallmann Syndrome 1
C1863198,"ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS (disorder)"
C1849813,"Glycogen Storage Disease of Heart, Lethal Congenital"
C2751259,"Macrothrombocytopenia, Autosomal Dominant, Tubb1-Related"
C1864112,HUNTINGTON DISEASE-LIKE 1
C0020179,Huntington Disease
C1847987,HUNTINGTON DISEASE-LIKE 2
C0342881,Familial hypercholesterolemia - homozygous
C0678189,"Hyperlipidemia, group A"
C1863512,"HYPERCHOLESTEROLEMIA, AUTOSOMAL RECESSIVE"
C0878676,6-pyruvoyl-tetrahydropterin synthase deficiency
C4048195,Autosomal dominant hypocalcemia
C4552089,"HYPOCALCEMIA, AUTOSOMAL DOMINANT 1, WITH BARTTER SYNDROME"
C3715128,"HYPOCALCEMIA, AUTOSOMAL DOMINANT 1"
C3809243,"HYPOCALCEMIA, AUTOSOMAL DOMINANT 2"
C0348454,Other hypoparathyroidism
C0342288,Insulin-dependent diabetes mellitus secretory diarrhea syndrome
C0085409,"Polyendocrinopathies, Autoimmune"
C1844663,"ISLETS OF LANGERHANS, ABSENCE OF"
C1836727,"Peripheral Demyelinating Neuropathy, Central Dysmyelination, Waardenburg Syndrome, and Hirschsprung Disease"
C4721893,POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY 1
C1857316,POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY
C2677792,Riddle Syndrome
